Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2010,,R,,ISCED11_1,85
2012,,R,,ISCED11_1,79
2014,,R,,ISCED11_1,84
2015,,R,,ISCED11_1,85
2019,,R,,ISCED11_1,86
2005,,R,,ISCED11_2,48
2009,,R,,ISCED11_2,59
2010,,R,,ISCED11_2,61
2012,,R,,ISCED11_2,61
2014,,R,,ISCED11_2,61
2015,,R,,ISCED11_2,63
2019,,R,,ISCED11_2,40
2005,,R,,ISCED11_3,1
2009,,R,,ISCED11_3,5
2010,,R,,ISCED11_3,5
2012,,R,,ISCED11_3,4
2014,,R,,ISCED11_3,3
2015,,R,,ISCED11_3,4
2019,,R,,ISCED11_3,5
2005,,R,Q1,ISCED11_1,70
2010,,R,Q1,ISCED11_1,72
2014,,R,Q1,ISCED11_1,76
2015,,R,Q1,ISCED11_1,75
2019,,R,Q1,ISCED11_1,78
2005,,R,Q1,ISCED11_2,27
2010,,R,Q1,ISCED11_2,36
2014,,R,Q1,ISCED11_2,45
2015,,R,Q1,ISCED11_2,40
2019,,R,Q1,ISCED11_2,19
2005,,R,Q1,ISCED11_3,0
2010,,R,Q1,ISCED11_3,0
2014,,R,Q1,ISCED11_3,0
2015,,R,Q1,ISCED11_3,1
2019,,R,Q1,ISCED11_3,0
2005,,R,Q2,ISCED11_1,82
2010,,R,Q2,ISCED11_1,86
2014,,R,Q2,ISCED11_1,83
2015,,R,Q2,ISCED11_1,83
2019,,R,Q2,ISCED11_1,86
2005,,R,Q2,ISCED11_2,41
2010,,R,Q2,ISCED11_2,62
2014,,R,Q2,ISCED11_2,58
2015,,R,Q2,ISCED11_2,58
2019,,R,Q2,ISCED11_2,36
2005,,R,Q2,ISCED11_3,0
2010,,R,Q2,ISCED11_3,3
2014,,R,Q2,ISCED11_3,2
2015,,R,Q2,ISCED11_3,1
2019,,R,Q2,ISCED11_3,0
2005,,R,Q3,ISCED11_1,89
2010,,R,Q3,ISCED11_1,88
2014,,R,Q3,ISCED11_1,88
2015,,R,Q3,ISCED11_1,90
2019,,R,Q3,ISCED11_1,89
2005,,R,Q3,ISCED11_2,61
2010,,R,Q3,ISCED11_2,69
2014,,R,Q3,ISCED11_2,68
2015,,R,Q3,ISCED11_2,70
2019,,R,Q3,ISCED11_2,46
2005,,R,Q3,ISCED11_3,1
2010,,R,Q3,ISCED11_3,5
2014,,R,Q3,ISCED11_3,3
2015,,R,Q3,ISCED11_3,4
2019,,R,Q3,ISCED11_3,0
2005,,R,Q4,ISCED11_1,90
2010,,R,Q4,ISCED11_1,90
2014,,R,Q4,ISCED11_1,88
2015,,R,Q4,ISCED11_1,90
2019,,R,Q4,ISCED11_1,90
2005,,R,Q4,ISCED11_2,62
2010,,R,Q4,ISCED11_2,73
2014,,R,Q4,ISCED11_2,70
2015,,R,Q4,ISCED11_2,76
2019,,R,Q4,ISCED11_2,54
2005,,R,Q4,ISCED11_3,4
2010,,R,Q4,ISCED11_3,10
2014,,R,Q4,ISCED11_3,5
2015,,R,Q4,ISCED11_3,8
2019,,R,Q4,ISCED11_3,0
2005,,R,Q5,ISCED11_1,92
2010,,R,Q5,ISCED11_1,94
2014,,R,Q5,ISCED11_1,90
2015,,R,Q5,ISCED11_1,100
2019,,R,Q5,ISCED11_1,100
2005,,R,Q5,ISCED11_2,92
2010,,R,Q5,ISCED11_2,86
2014,,R,Q5,ISCED11_2,94
2015,,R,Q5,ISCED11_2,90
2019,,R,Q5,ISCED11_2,96
2005,,R,Q5,ISCED11_3,0
2010,,R,Q5,ISCED11_3,21
2014,,R,Q5,ISCED11_3,17
2015,,R,Q5,ISCED11_3,40
2019,,R,Q5,ISCED11_3,0
2005,,U,,ISCED11_1,97
2009,,U,,ISCED11_1,96
2010,,U,,ISCED11_1,96
2012,,U,,ISCED11_1,95
2014,,U,,ISCED11_1,96
2015,,U,,ISCED11_1,97
2019,,U,,ISCED11_1,97
2005,,U,,ISCED11_2,82
2009,,U,,ISCED11_2,90
2010,,U,,ISCED11_2,90
2012,,U,,ISCED11_2,89
2014,,U,,ISCED11_2,90
2015,,U,,ISCED11_2,92
2019,,U,,ISCED11_2,78
2005,,U,,ISCED11_3,9
2009,,U,,ISCED11_3,26
2010,,U,,ISCED11_3,22
2012,,U,,ISCED11_3,20
2014,,U,,ISCED11_3,22
2015,,U,,ISCED11_3,25
2019,,U,,ISCED11_3,26
2005,,U,Q1,ISCED11_1,0
2010,,U,Q1,ISCED11_1,0
2015,,U,Q1,ISCED11_1,0
2005,,U,Q1,ISCED11_2,0
2010,,U,Q1,ISCED11_2,0
2015,,U,Q1,ISCED11_2,0
2005,,U,Q1,ISCED11_3,0
2010,,U,Q1,ISCED11_3,0
2015,,U,Q1,ISCED11_3,0
2005,,U,Q2,ISCED11_1,0
2010,,U,Q2,ISCED11_1,0
2015,,U,Q2,ISCED11_1,0
2019,,U,Q2,ISCED11_1,0
2005,,U,Q2,ISCED11_2,0
2010,,U,Q2,ISCED11_2,0
2015,,U,Q2,ISCED11_2,0
2005,,U,Q2,ISCED11_3,0
2010,,U,Q2,ISCED11_3,0
2015,,U,Q2,ISCED11_3,0
2005,,U,Q3,ISCED11_1,0
2010,,U,Q3,ISCED11_1,63
2015,,U,Q3,ISCED11_1,0
2019,,U,Q3,ISCED11_1,0
2005,,U,Q3,ISCED11_2,0
2010,,U,Q3,ISCED11_2,69
2015,,U,Q3,ISCED11_2,0
2019,,U,Q3,ISCED11_2,0
2005,,U,Q3,ISCED11_3,0
2010,,U,Q3,ISCED11_3,0
2015,,U,Q3,ISCED11_3,0
2019,,U,Q3,ISCED11_3,0
2005,,U,Q4,ISCED11_1,94
2010,,U,Q4,ISCED11_1,98
2014,,U,Q4,ISCED11_1,93
2015,,U,Q4,ISCED11_1,96
2019,,U,Q4,ISCED11_1,96
2005,,U,Q4,ISCED11_2,73
2010,,U,Q4,ISCED11_2,92
2014,,U,Q4,ISCED11_2,84
2015,,U,Q4,ISCED11_2,87
2019,,U,Q4,ISCED11_2,71
2005,,U,Q4,ISCED11_3,4
2010,,U,Q4,ISCED11_3,11
2014,,U,Q4,ISCED11_3,8
2015,,U,Q4,ISCED11_3,10
2019,,U,Q4,ISCED11_3,16
2005,,U,Q5,ISCED11_1,98
2010,,U,Q5,ISCED11_1,98
2014,,U,Q5,ISCED11_1,97
2015,,U,Q5,ISCED11_1,98
2019,,U,Q5,ISCED11_1,98
2005,,U,Q5,ISCED11_2,88
2010,,U,Q5,ISCED11_2,93
2014,,U,Q5,ISCED11_2,92
2015,,U,Q5,ISCED11_2,95
2019,,U,Q5,ISCED11_2,84
2005,,U,Q5,ISCED11_3,14
2010,,U,Q5,ISCED11_3,33
2014,,U,Q5,ISCED11_3,30
2015,,U,Q5,ISCED11_3,35
2019,,U,Q5,ISCED11_3,35
2000,F,,,ISCED11_1,86
2001,F,,,ISCED11_1,86
2002,F,,,ISCED11_1,86
2003,F,,,ISCED11_1,87
2004,F,,,ISCED11_1,87
2005,F,,,ISCED11_1,89
2006,F,,,ISCED11_1,87
2007,F,,,ISCED11_1,87
2008,F,,,ISCED11_1,87
2009,F,,,ISCED11_1,90
2010,F,,,ISCED11_1,91
2011,F,,,ISCED11_1,87
2012,F,,,ISCED11_1,87
2013,F,,,ISCED11_1,88
2014,F,,,ISCED11_1,91
2015,F,,,ISCED11_1,89
2016,F,,,ISCED11_1,89
2017,F,,,ISCED11_1,89
2018,F,,,ISCED11_1,90
2019,F,,,ISCED11_1,92
2020,F,,,ISCED11_1,90
2000,F,,,ISCED11_2,61
2001,F,,,ISCED11_2,62
2002,F,,,ISCED11_2,63
2003,F,,,ISCED11_2,63
2004,F,,,ISCED11_2,64
2005,F,,,ISCED11_2,61
2006,F,,,ISCED11_2,64
2007,F,,,ISCED11_2,65
2008,F,,,ISCED11_2,65
2009,F,,,ISCED11_2,71
2010,F,,,ISCED11_2,72
2011,F,,,ISCED11_2,67
2012,F,,,ISCED11_2,72
2013,F,,,ISCED11_2,69
2014,F,,,ISCED11_2,74
2015,F,,,ISCED11_2,73
2016,F,,,ISCED11_2,73
2017,F,,,ISCED11_2,74
2018,F,,,ISCED11_2,74
2019,F,,,ISCED11_2,54
2020,F,,,ISCED11_2,76
2000,F,,,ISCED11_3,7
2001,F,,,ISCED11_3,7
2002,F,,,ISCED11_3,8
2003,F,,,ISCED11_3,8
2004,F,,,ISCED11_3,8
2005,F,,,ISCED11_3,3
2006,F,,,ISCED11_3,8
2007,F,,,ISCED11_3,8
2008,F,,,ISCED11_3,8
2009,F,,,ISCED11_3,10
2010,F,,,ISCED11_3,10
2011,F,,,ISCED11_3,8
