Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2019,M,,Q2,ISCED11_2,33
2005,M,,Q2,ISCED11_3,0
2010,M,,Q2,ISCED11_3,5
2014,M,,Q2,ISCED11_3,4
2015,M,,Q2,ISCED11_3,2
2019,M,,Q2,ISCED11_3,0
2005,M,,Q3,ISCED11_1,89
2010,M,,Q3,ISCED11_1,85
2014,M,,Q3,ISCED11_1,85
2015,M,,Q3,ISCED11_1,88
2019,M,,Q3,ISCED11_1,88
2005,M,,Q3,ISCED11_2,61
2010,M,,Q3,ISCED11_2,71
2014,M,,Q3,ISCED11_2,64
2015,M,,Q3,ISCED11_2,67
2019,M,,Q3,ISCED11_2,49
2005,M,,Q3,ISCED11_3,2
2010,M,,Q3,ISCED11_3,5
2014,M,,Q3,ISCED11_3,6
2015,M,,Q3,ISCED11_3,6
2019,M,,Q3,ISCED11_3,0
2005,M,,Q4,ISCED11_1,90
2010,M,,Q4,ISCED11_1,93
2014,M,,Q4,ISCED11_1,88
2015,M,,Q4,ISCED11_1,92
2019,M,,Q4,ISCED11_1,90
2005,M,,Q4,ISCED11_2,70
2010,M,,Q4,ISCED11_2,82
2014,M,,Q4,ISCED11_2,73
2015,M,,Q4,ISCED11_2,81
2019,M,,Q4,ISCED11_2,62
2005,M,,Q4,ISCED11_3,6
2010,M,,Q4,ISCED11_3,12
2014,M,,Q4,ISCED11_3,6
2015,M,,Q4,ISCED11_3,11
2019,M,,Q4,ISCED11_3,19
2005,M,,Q5,ISCED11_1,99
2010,M,,Q5,ISCED11_1,96
2014,M,,Q5,ISCED11_1,98
2015,M,,Q5,ISCED11_1,98
2019,M,,Q5,ISCED11_1,98
2005,M,,Q5,ISCED11_2,92
2010,M,,Q5,ISCED11_2,92
2014,M,,Q5,ISCED11_2,93
2015,M,,Q5,ISCED11_2,96
2019,M,,Q5,ISCED11_2,88
2005,M,,Q5,ISCED11_3,19
2010,M,,Q5,ISCED11_3,37
2014,M,,Q5,ISCED11_3,36
2015,M,,Q5,ISCED11_3,39
2019,M,,Q5,ISCED11_3,43
2005,M,R,,ISCED11_1,81
2010,M,R,,ISCED11_1,82
2012,M,R,,ISCED11_1,76
2014,M,R,,ISCED11_1,80
2015,M,R,,ISCED11_1,84
2019,M,R,,ISCED11_1,83
2005,M,R,,ISCED11_2,50
2010,M,R,,ISCED11_2,62
2012,M,R,,ISCED11_2,59
2014,M,R,,ISCED11_2,58
2015,M,R,,ISCED11_2,63
2019,M,R,,ISCED11_2,39
2005,M,R,,ISCED11_3,2
2010,M,R,,ISCED11_3,6
2012,M,R,,ISCED11_3,6
2014,M,R,,ISCED11_3,5
2015,M,R,,ISCED11_3,5
2019,M,R,,ISCED11_3,7
2005,M,R,Q1,ISCED11_1,67
2010,M,R,Q1,ISCED11_1,66
2014,M,R,Q1,ISCED11_1,70
2015,M,R,Q1,ISCED11_1,73
2019,M,R,Q1,ISCED11_1,75
2005,M,R,Q1,ISCED11_2,32
2010,M,R,Q1,ISCED11_2,37
2014,M,R,Q1,ISCED11_2,40
2015,M,R,Q1,ISCED11_2,40
2019,M,R,Q1,ISCED11_2,20
2005,M,R,Q1,ISCED11_3,0
2010,M,R,Q1,ISCED11_3,0
2014,M,R,Q1,ISCED11_3,1
2015,M,R,Q1,ISCED11_3,2
2019,M,R,Q1,ISCED11_3,0
2005,M,R,Q2,ISCED11_1,84
2010,M,R,Q2,ISCED11_1,85
2014,M,R,Q2,ISCED11_1,79
2015,M,R,Q2,ISCED11_1,83
2019,M,R,Q2,ISCED11_1,83
2005,M,R,Q2,ISCED11_2,44
2010,M,R,Q2,ISCED11_2,63
2014,M,R,Q2,ISCED11_2,54
2015,M,R,Q2,ISCED11_2,60
2019,M,R,Q2,ISCED11_2,33
2005,M,R,Q2,ISCED11_3,0
2010,M,R,Q2,ISCED11_3,5
2014,M,R,Q2,ISCED11_3,4
2015,M,R,Q2,ISCED11_3,2
2019,M,R,Q2,ISCED11_3,0
2005,M,R,Q3,ISCED11_1,88
2010,M,R,Q3,ISCED11_1,85
2014,M,R,Q3,ISCED11_1,85
2015,M,R,Q3,ISCED11_1,88
2019,M,R,Q3,ISCED11_1,88
2005,M,R,Q3,ISCED11_2,61
2010,M,R,Q3,ISCED11_2,70
2014,M,R,Q3,ISCED11_2,64
2015,M,R,Q3,ISCED11_2,67
2019,M,R,Q3,ISCED11_2,48
2005,M,R,Q3,ISCED11_3,2
2010,M,R,Q3,ISCED11_3,6
2014,M,R,Q3,ISCED11_3,6
2015,M,R,Q3,ISCED11_3,6
2019,M,R,Q3,ISCED11_3,0
2005,M,R,Q4,ISCED11_1,85
2010,M,R,Q4,ISCED11_1,87
2014,M,R,Q4,ISCED11_1,86
2015,M,R,Q4,ISCED11_1,89
2019,M,R,Q4,ISCED11_1,86
2005,M,R,Q4,ISCED11_2,62
2010,M,R,Q4,ISCED11_2,74
2014,M,R,Q4,ISCED11_2,70
2015,M,R,Q4,ISCED11_2,75
2019,M,R,Q4,ISCED11_2,46
2005,M,R,Q4,ISCED11_3,7
2010,M,R,Q4,ISCED11_3,6
2014,M,R,Q4,ISCED11_3,5
2015,M,R,Q4,ISCED11_3,6
2019,M,R,Q4,ISCED11_3,0
2005,M,R,Q5,ISCED11_1,0
2010,M,R,Q5,ISCED11_1,86
2014,M,R,Q5,ISCED11_1,94
2015,M,R,Q5,ISCED11_1,0
2019,M,R,Q5,ISCED11_1,0
2005,M,R,Q5,ISCED11_2,0
2010,M,R,Q5,ISCED11_2,76
2015,M,R,Q5,ISCED11_2,0
2019,M,R,Q5,ISCED11_2,0
2005,M,R,Q5,ISCED11_3,0
2010,M,R,Q5,ISCED11_3,23
2015,M,R,Q5,ISCED11_3,0
2019,M,R,Q5,ISCED11_3,0
2005,M,U,,ISCED11_1,98
2010,M,U,,ISCED11_1,97
2012,M,U,,ISCED11_1,95
2014,M,U,,ISCED11_1,96
2015,M,U,,ISCED11_1,97
2019,M,U,,ISCED11_1,96
2005,M,U,,ISCED11_2,85
2010,M,U,,ISCED11_2,93
2012,M,U,,ISCED11_2,90
2014,M,U,,ISCED11_2,90
2015,M,U,,ISCED11_2,93
2019,M,U,,ISCED11_2,84
2005,M,U,,ISCED11_3,12
2010,M,U,,ISCED11_3,27
2012,M,U,,ISCED11_3,24
2014,M,U,,ISCED11_3,27
2015,M,U,,ISCED11_3,30
2019,M,U,,ISCED11_3,33
2005,M,U,Q1,ISCED11_1,0
2010,M,U,Q1,ISCED11_1,0
2015,M,U,Q1,ISCED11_1,0
2005,M,U,Q1,ISCED11_2,0
2010,M,U,Q1,ISCED11_2,0
2015,M,U,Q1,ISCED11_2,0
2005,M,U,Q1,ISCED11_3,0
2010,M,U,Q1,ISCED11_3,0
2015,M,U,Q1,ISCED11_3,0
2005,M,U,Q2,ISCED11_1,0
2010,M,U,Q2,ISCED11_1,0
2015,M,U,Q2,ISCED11_1,0
2019,M,U,Q2,ISCED11_1,0
2005,M,U,Q2,ISCED11_2,0
2010,M,U,Q2,ISCED11_2,0
2015,M,U,Q2,ISCED11_2,0
2005,M,U,Q2,ISCED11_3,0
2010,M,U,Q2,ISCED11_3,0
2015,M,U,Q2,ISCED11_3,0
2005,M,U,Q3,ISCED11_1,0
2010,M,U,Q3,ISCED11_1,0
2015,M,U,Q3,ISCED11_1,0
2019,M,U,Q3,ISCED11_1,0
2005,M,U,Q3,ISCED11_2,0
2010,M,U,Q3,ISCED11_2,0
2015,M,U,Q3,ISCED11_2,0
2019,M,U,Q3,ISCED11_2,0
2005,M,U,Q3,ISCED11_3,0
2010,M,U,Q3,ISCED11_3,0
2015,M,U,Q3,ISCED11_3,0
2019,M,U,Q3,ISCED11_3,0
2005,M,U,Q4,ISCED11_1,95
2010,M,U,Q4,ISCED11_1,100
2014,M,U,Q4,ISCED11_1,90
2015,M,U,Q4,ISCED11_1,96
2019,M,U,Q4,ISCED11_1,94
2005,M,U,Q4,ISCED11_2,75
2010,M,U,Q4,ISCED11_2,90
2014,M,U,Q4,ISCED11_2,80
2015,M,U,Q4,ISCED11_2,88
2019,M,U,Q4,ISCED11_2,79
2005,M,U,Q4,ISCED11_3,5
2010,M,U,Q4,ISCED11_3,16
2014,M,U,Q4,ISCED11_3,8
2015,M,U,Q4,ISCED11_3,15
2019,M,U,Q4,ISCED11_3,23
2005,M,U,Q5,ISCED11_1,99
2010,M,U,Q5,ISCED11_1,98
2014,M,U,Q5,ISCED11_1,98
2015,M,U,Q5,ISCED11_1,98
2019,M,U,Q5,ISCED11_1,97
2005,M,U,Q5,ISCED11_2,92
2010,M,U,Q5,ISCED11_2,95
2014,M,U,Q5,ISCED11_2,93
2015,M,U,Q5,ISCED11_2,96
2019,M,U,Q5,ISCED11_2,88
2005,M,U,Q5,ISCED11_3,18
2010,M,U,Q5,ISCED11_3,40
2014,M,U,Q5,ISCED11_3,36
2015,M,U,Q5,ISCED11_3,39
2019,M,U,Q5,ISCED11_3,43
