Year,SERIES,Value
2016,IQ_SPI_PIL4,39.74167
2017,IQ_SPI_PIL4,40.36667
2018,IQ_SPI_PIL4,41.44167
2019,IQ_SPI_PIL4,43.09167
2016,IQ_SPI_PIL5,35.0
2017,IQ_SPI_PIL5,35.0
2018,IQ_SPI_PIL5,45.0
2019,IQ_SPI_PIL5,45.0
