Year,Value
2000,605
2001,617
2002,617
2003,617
2004,607
2005,588
2006,561
2007,527
2008,487
2009,450
2010,416
2011,384
2012,355
2013,304
2014,278
2015,242
2016,233
2017,221
2018,210
2019,199
2020,181
2021,190
