Year,Value
2000,105.92435
2001,105.92444
2002,105.92441
2003,105.92435
2004,105.92435
2005,105.92441
2006,105.92439
2007,172.3827
2008,69.70759
2009,76.51478
2010,108.57908
2011,70.39488
2012,56.72875
2013,80.91622
2014,100.18511
2015,95.74045
2016,66.8362
2017,115.18194
2018,53.55142
2019,64.73938
2020,93.43767
2021,27.19948
