Year,SEX,Value
2000,,29.3
2005,,35.3
2010,,37.6
2015,,38.7
2019,,41.2
2000,F,6.9
2005,F,11.1
2010,F,15.2
2015,F,16.4
2019,F,16.9
2000,M,52.7
2005,M,61.6
2010,M,62.2
2015,M,63.4
2019,M,67.9
