Year,SERIES,SEX,AGE,COMPOSITE_BREAKDOWN,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2009,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,14.16666
2010,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,13.43617
2011,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,12.53341
2012,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,11.50001
2013,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,10.89642
2014,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,10.05473
2015,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,9.14445
2016,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,8.08189
2017,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,7.02579
2018,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,5.64407
2019,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,4.69756
2020,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,4.17447
2021,SH_HIV_INCD,F,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,3.65443
2000,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,23.40461
2001,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,21.39494
2002,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,19.46235
2003,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,18.00619
2004,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,17.02769
2005,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,16.04398
2006,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,15.0921
2007,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,14.17302
2008,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,13.40566
2009,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,12.69276
2010,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,12.04607
2011,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,11.20114
2012,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,10.25782
2013,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,9.67455
2014,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,8.8955
2015,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,8.04784
2016,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,7.07258
2017,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,6.11598
2018,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,4.88361
2019,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,4.03739
2020,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,3.57501
2021,SH_HIV_INCD,F,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,3.0991
2000,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,11.90225
2001,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,11.07029
2002,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,10.21485
2003,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,9.49714
2004,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,9.00941
2005,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,8.49322
2006,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,8.10854
2007,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,7.65456
2008,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,7.20603
2009,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,6.74327
2010,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,6.18867
2011,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,5.43568
2012,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,4.49078
2013,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,4.10671
2014,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,3.62599
2015,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,3.21084
2016,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,2.72841
2017,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,2.30164
2018,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,1.81153
2019,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,1.48451
2020,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,1.33137
2021,SH_HIV_INCD,M,,,,PER_1000_UNINFECTED_POP,2023-02-20,1.19214
2000,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,7.41304
2001,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,6.72599
2002,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,6.07452
2003,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,5.59149
2004,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,5.24871
2005,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,4.9004
2006,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,4.55427
2007,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,4.24336
2008,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,3.96763
2009,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,3.71754
2010,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,3.51154
2011,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,3.10074
2012,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,2.71506
2013,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,2.46108
2014,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,2.18311
2015,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,1.90485
2016,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,1.64532
2017,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,1.38097
2018,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,1.07184
2019,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,0.86328
2020,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,0.75435
2021,SH_HIV_INCD,M,Y_GE50,,,PER_1000_UNINFECTED_POP,2023-02-20,0.66425
2000,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,12.11055
2001,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,11.09813
2002,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,10.12965
2003,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,9.38461
2004,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,8.87719
2005,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,8.35528
2006,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,7.85003
2007,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,7.34336
2008,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,6.91969
2009,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,6.5343
2010,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,6.19602
2011,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,5.49241
2012,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,4.80416
2013,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,4.34868
2014,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,3.82509
2015,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,3.32393
2016,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,2.81026
2017,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,2.34988
2018,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,1.81703
2019,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,1.45461
2020,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,1.25039
2021,SH_HIV_INCD,M,Y15T24,,,PER_1000_UNINFECTED_POP,2023-02-20,1.08856
2000,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,17.48353
2001,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,15.97853
2002,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,14.5384
2003,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,13.45008
2004,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,12.71545
2005,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,11.97999
2006,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,11.27058
2007,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,10.59056
2008,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,10.01862
2009,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,9.49069
2010,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,9.00792
2011,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,8.05557
2012,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,7.10149
2013,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,6.46195
2014,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,5.73651
2015,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,5.01808
2016,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,4.26918
2017,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,3.5812
2018,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,2.77614
2019,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,2.22939
2020,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,1.92956
2021,SH_HIV_INCD,M,Y15T49,,,PER_1000_UNINFECTED_POP,2023-02-20,1.67319
2000,SH_STA_SCIDEN,,,,,NUMBER,2021-03-24,1578.0
2005,SH_STA_SCIDEN,,,,,NUMBER,2021-03-24,1688.0
2010,SH_STA_SCIDEN,,,,,NUMBER,2021-03-24,2731.0
2015,SH_STA_SCIDEN,,,,,NUMBER,2021-03-24,2481.0
2019,SH_STA_SCIDEN,,,,,NUMBER,2021-03-24,2069.0
2000,SH_STA_SCIDEN,F,,,,NUMBER,2021-03-24,755.0
2005,SH_STA_SCIDEN,F,,,,NUMBER,2021-03-24,750.0
2010,SH_STA_SCIDEN,F,,,,NUMBER,2021-03-24,1144.0
2015,SH_STA_SCIDEN,F,,,,NUMBER,2021-03-24,915.0
2019,SH_STA_SCIDEN,F,,,,NUMBER,2021-03-24,673.0
2000,SH_STA_SCIDEN,M,,,,NUMBER,2021-03-24,823.0
2005,SH_STA_SCIDEN,M,,,,NUMBER,2021-03-24,938.0
2010,SH_STA_SCIDEN,M,,,,NUMBER,2021-03-24,1588.0
2015,SH_STA_SCIDEN,M,,,,NUMBER,2021-03-24,1566.0
2019,SH_STA_SCIDEN,M,,,,NUMBER,2021-03-24,1395.0
2010,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,6437391.0
2011,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,6472357.0
2012,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,6496297.0
2013,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,6958826.0
2014,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,7044667.0
2015,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,10346543.0
2016,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,9958235.0
2017,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,10660813.0
2018,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,10660813.0
2019,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,10660813.0
2020,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,8029929.0
2021,SH_TRP_INTVN,,,,,NUMBER,2023-02-15,8147168.0
2000,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,0.91764
2001,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,2.15169
2002,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,33.45111
2003,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,58.96151
2004,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,78.30311
2005,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,91.69051
2006,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,102.85167
2007,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,114.85037
2008,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,133.27592
2009,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,175.65723
2010,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,185.93714
2011,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,190.36401
2012,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,164.45101
2013,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,143.67279
2014,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,160.22792
2015,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,148.91534
2016,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,124.08375
2017,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,116.77326
2018,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,102.61763
2019,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,64.74267
2020,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,54.12594
2021,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,50.2133
2022,SM_POP_REFG_OR,,,,,PER_100000_POP,2023-03-01,47.94111
2001,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.9
2002,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.8
2003,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.8
2004,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.8
2005,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.7
2006,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.6
2007,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.6
2008,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.6
2009,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.5
2010,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.4
2011,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.3
2012,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.3
2013,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,3.7
2014,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,4.2
2015,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,4.6
2016,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,5.1
2017,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,5.4
2018,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,5.8
2019,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,6.0
2020,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,6.1
2021,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,6.1
2022,SN_ITK_DEFCN,,,,,NUMBER,2023-09-08,
2019,VC_DSR_AFFCT,,,,,NUMBER,2023-08-02,702363.0
2011,VC_DSR_CDAN,,,,,NUMBER,2023-03-30,0.0
2011,VC_DSR_CDYN,,,,,NUMBER,2023-03-30,0.0
2019,VC_DSR_DAFF,,,,,PER_100000_POP,2023-03-29,4574.28154
2011,VC_DSR_EFDN,,,,,NUMBER,2023-03-30,0.0
2011,VC_DSR_HFDN,,,,,NUMBER,2023-03-30,0.0
2017,VC_DSR_MISS,,,,,NUMBER,2023-03-29,0.0
2019,VC_DSR_MISS,,,,,NUMBER,2023-03-29,344.0
2017,VC_DSR_MMHN,,,,,NUMBER,2023-03-29,0.0
2019,VC_DSR_MMHN,,,,,NUMBER,2023-03-29,344.0
2017,VC_DSR_MORT,,,,,NUMBER,2023-03-29,0.0
2017,VC_DSR_MTMP,,,,,PER_100000_POP,2023-03-29,0.0
2019,VC_DSR_MTMP,,,,,PER_100000_POP,2023-03-29,2.24037
2019,VC_DSR_PDAN,,,,,NUMBER,2023-08-02,234121.0
2019,VC_DSR_PDLN,,,,,NUMBER,2023-03-29,234121.0
2019,VC_DSR_PDYN,,,,,NUMBER,2023-08-02,234121.0
2001,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,12.84
2002,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,13.54
2003,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,11.26
2004,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,11.15
2005,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,11.04
2006,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,8.69
2010,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,5.54
2012,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,7.4
2018,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,4.88
2019,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,5.15
2020,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,4.98
2021,VC_IHR_PSRC,,,,,PER_100000_POP,2023-05-01,6.14
2018,VC_IHR_PSRC,F,,,,PER_100000_POP,2023-05-01,2.05
2019,VC_IHR_PSRC,F,,,,PER_100000_POP,2023-05-01,2.06
2020,VC_IHR_PSRC,F,,,,PER_100000_POP,2023-05-01,1.76
2021,VC_IHR_PSRC,F,,,,PER_100000_POP,2023-05-01,1.87
2018,VC_IHR_PSRC,M,,,,PER_100000_POP,2023-05-01,8.06
2019,VC_IHR_PSRC,M,,,,PER_100000_POP,2023-05-01,8.61
2020,VC_IHR_PSRC,M,,,,PER_100000_POP,2023-05-01,8.58
2021,VC_IHR_PSRC,M,,,,PER_100000_POP,2023-05-01,10.92
1990,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,587.0
2001,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1529.0
2002,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1623.0
2003,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1360.0
2004,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1356.0
2005,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1350.0
2006,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,1072.0
2010,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,711.0
2012,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,981.0
2018,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,734.0
2019,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,790.0
2020,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,780.0
2021,VC_IHR_PSRCN,,,,,NUMBER,2023-03-27,982.0
1990,VC_IHR_PSRCN,F,,,,NUMBER,2023-03-27,183.0
2018,VC_IHR_PSRCN,F,,,,NUMBER,2023-03-27,163.0
2019,VC_IHR_PSRCN,F,,,,NUMBER,2023-03-27,167.0
2020,VC_IHR_PSRCN,F,,,,NUMBER,2023-03-27,146.0
2021,VC_IHR_PSRCN,F,,,,NUMBER,2023-03-27,158.0
1990,VC_IHR_PSRCN,M,,,,NUMBER,2023-03-27,404.0
2018,VC_IHR_PSRCN,M,,,,NUMBER,2023-03-27,571.0
2019,VC_IHR_PSRCN,M,,,,NUMBER,2023-03-27,623.0
2020,VC_IHR_PSRCN,M,,,,NUMBER,2023-03-27,634.0
2021,VC_IHR_PSRCN,M,,,,NUMBER,2023-03-27,824.0
