Year,SERIES,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2011,FP_CPI_TOTL_ZG,,PT,2023-03-10,3.46613
2012,FP_CPI_TOTL_ZG,,PT,2023-03-10,3.72533
2013,FP_CPI_TOTL_ZG,,PT,2023-03-10,1.63495
2014,FP_CPI_TOTL_ZG,,PT,2023-03-10,-0.19778
2015,FP_CPI_TOTL_ZG,,PT,2023-03-10,-2.43097
2016,FP_CPI_TOTL_ZG,,PT,2023-03-10,-1.54367
2017,FP_CPI_TOTL_ZG,,PT,2023-03-10,0.89396
2018,FP_CPI_TOTL_ZG,,PT,2023-03-10,10.61887
2019,FP_CPI_TOTL_ZG,,PT,2023-03-10,255.30499
2020,FP_CPI_TOTL_ZG,,PT,2023-03-10,557.20182
2021,FP_CPI_TOTL_ZG,,PT,2023-03-10,98.54611
2010,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,54.45897
2011,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,38.67445
2012,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,58.34569
2013,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,-26.84046
2014,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,19.83966
2015,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,15.86864
2016,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,13.13281
2017,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,14.50718
2018,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,-21.20271
2019,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,-23.49679
2020,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,-23.75847
2021,NE_CON_GOVT_KD_ZG,,PT,2023-03-12,142.10109
2010,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,6.82202
2011,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,2.34461
2012,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,23.64468
2013,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,-1.20431
2014,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,-2.55477
2015,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,19.0809
2016,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,-10.50111
2017,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,1.39614
2018,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,2.60351
2019,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,-8.60029
2020,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,-2.71407
2021,NE_CON_PRVT_KD_ZG,,PT,2023-03-12,4.73975
1977,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-5.09112
1978,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,3.94725
1979,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-16.74789
1980,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,39.28558
1981,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,12.52543
1982,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,2.6343
1983,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,1.58531
1984,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-1.90736
1985,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,6.94498
1986,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,20.80495
1987,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-2.0893
1988,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,6.07864
1989,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,1.22644
1990,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-0.04775
1991,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-4.37996
1992,NE_EXP_GNFS_KD_ZG,,PT,2023-03-12,-5.32255
