Year,SEX,Value
2000,,8.45
2001,,6.18
2005,,6.2
2006,,7.5
2007,,6.3
2011,,8.48
2012,,9.53
2005,F,3.1
2006,F,1.2
2007,F,1.7
2011,F,3.1
2012,F,1.57
2005,M,6.8
2006,M,8.8
2007,M,7.4
2011,M,9.79
2012,M,11.51
