Year,Value
2009,5.6466
2010,40.9289
2011,66.8995
2012,60.1143
2013,92.4435
2014,97.7339
2015,85.4348
2016,92.9025
2017,74.8271
2018,81.0727
2019,218.84201
2020,255.17045
2021,127.87705
