Year,SEX,Value
2000,,13.3
2005,,14.0
2010,,21.5
2015,,18.0
2019,,14.1
2000,F,12.4
2005,F,11.9
2010,F,17.2
2015,F,12.6
2019,F,8.8
2000,M,14.1
2005,M,16.2
2010,M,26.2
2015,M,23.8
2019,M,20.0
