Year,Value
2004,50.9
2005,51.2
2006,51.1
2007,51.3
2008,52.8
2009,50.5
2010,50.7
2011,53.9
2012,54.4
2013,54.4
2014,53.4
2015,53.8
2016,55.0
2017,55.8
2018,51.6
2019,52.3
2020,53.2
