Year,Value,SERIES
2016,39.74167,IQ_SPI_PIL4
2017,40.36667,IQ_SPI_PIL4
2018,41.44167,IQ_SPI_PIL4
2019,43.09167,IQ_SPI_PIL4
2016,35.0,IQ_SPI_PIL5
2017,35.0,IQ_SPI_PIL5
2018,45.0,IQ_SPI_PIL5
2019,45.0,IQ_SPI_PIL5
