Year,Value
2000,96.2
2001,94.5
2002,93.4
2003,92.6
2004,92.9
2005,93.7
2006,95.6
2007,96.2
2008,94.7
2009,91.3
2010,86.1
2011,80.6
2012,72.1
2013,66.2
2014,62.6
2015,60.5
2016,57.9
2017,56.2
2018,53.7
2019,52.7
2020,51.8
2021,49.5
