Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2007,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2008,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2009,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2010,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2011,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2012,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2013,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2014,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2015,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2016,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2017,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2018,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2019,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2020,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2021,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2022,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2023,4.0,NUMBER,ER_NOEX_LBREDN,2023-09-28
2000,0.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2001,0.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2002,2.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2003,2.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2004,2.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2005,2.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2006,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2007,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2008,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2009,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2010,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2011,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2012,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2013,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2014,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2015,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2016,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2017,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2018,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2019,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2020,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2021,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2022,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2023,4.0,NUMBER,ER_UNK_LBREDN,2023-09-28
2017,60.0,NUMBER,SG_DSR_SILN,2023-03-29
2018,65.0,NUMBER,SG_DSR_SILN,2023-03-29
2019,65.0,NUMBER,SG_DSR_SILN,2023-03-29
2017,72.0,NUMBER,SG_GOV_LOGV,2023-03-29
2018,72.0,NUMBER,SG_GOV_LOGV,2023-03-29
2019,72.0,NUMBER,SG_GOV_LOGV,2023-03-29
2018,1.0,NUMBER,SG_PLN_MSTKSDG_R,2022-03-02
2000,12.86442,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2001,11.96385,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2002,11.03773,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2003,10.26833,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2004,9.74829,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2005,9.19681,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2006,8.77657,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2007,8.28585,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2008,7.80742,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2009,7.31466,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2010,6.73281,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2011,6.05085,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2012,5.13012,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2013,4.77041,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2014,4.28983,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2015,3.85672,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2016,3.33318,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2017,2.85325,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2018,2.27403,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2019,1.88461,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2020,1.69789,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2021,1.51078,PER_1000_UNINFECTED_POP,SH_HIV_INCD,2023-02-20
2000,1578.0,NUMBER,SH_STA_SCIDEN,2021-03-24
2005,1688.0,NUMBER,SH_STA_SCIDEN,2021-03-24
2010,2731.0,NUMBER,SH_STA_SCIDEN,2021-03-24
2015,2481.0,NUMBER,SH_STA_SCIDEN,2021-03-24
2019,2069.0,NUMBER,SH_STA_SCIDEN,2021-03-24
2010,6437391.0,NUMBER,SH_TRP_INTVN,2023-02-15
2011,6472357.0,NUMBER,SH_TRP_INTVN,2023-02-15
2012,6496297.0,NUMBER,SH_TRP_INTVN,2023-02-15
2013,6958826.0,NUMBER,SH_TRP_INTVN,2023-02-15
2014,7044667.0,NUMBER,SH_TRP_INTVN,2023-02-15
2015,10346543.0,NUMBER,SH_TRP_INTVN,2023-02-15
2016,9958235.0,NUMBER,SH_TRP_INTVN,2023-02-15
2017,10660813.0,NUMBER,SH_TRP_INTVN,2023-02-15
2018,10660813.0,NUMBER,SH_TRP_INTVN,2023-02-15
2019,10660813.0,NUMBER,SH_TRP_INTVN,2023-02-15
2020,8029929.0,NUMBER,SH_TRP_INTVN,2023-02-15
2021,8147168.0,NUMBER,SH_TRP_INTVN,2023-02-15
2000,0.91764,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2001,2.15169,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2002,33.45111,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2003,58.96151,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2004,78.30311,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2005,91.69051,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2006,102.85167,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2007,114.85037,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2008,133.27592,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2009,175.65723,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2010,185.93714,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2011,190.36401,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2012,164.45101,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2013,143.67279,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2014,160.22792,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2015,148.91534,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2016,124.08375,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2017,116.77326,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2018,102.61763,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2019,64.74267,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2020,54.12594,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2021,50.2133,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2022,47.94111,PER_100000_POP,SM_POP_REFG_OR,2023-03-01
2001,3.9,NUMBER,SN_ITK_DEFCN,2023-09-08
