Year,Value
2000,0.4693
2001,0.22138
2002,0.31423
2003,0.80839
2004,0.30291
2005,0.285
2006,0.40978
2007,2.04463
2008,2.52931
2009,1.08975
2010,1.40433
2011,0.99447
2012,1.53236
2013,1.02735
2014,0.98905
2015,1.02435
2016,0.75885
2017,1.19407
2018,0.86087
2019,1.12848
2020,1.26601
2021,0.85579
