Year,Value
2000,387.75033
2001,589.17383
2002,442.71538
2003,533.89887
2004,488.08747
2005,533.07277
2006,558.164
2007,656.42145
2008,684.82706
2009,669.88779
2010,618.32971
2011,562.12072
2012,527.61644
2013,495.25712
2014,440.85211
2015,408.11898
2016,399.75752
2017,366.38103
2018,358.5035
2019,393.17629
2020,356.75892
