Year,Value
2000,12.69
2001,12.39
2002,13.43
2003,15.52
2004,16.08
2005,17.96
2006,19.1
2007,19.51
2008,22.22
2009,20.21
2010,17.2
2011,15.94
2012,14.12
2013,14.21
2014,14.09
2015,13.91
2016,13.44
2017,12.79
2018,12.82
2019,13.4
2020,13.71
