Year,Value,SERIES
2020,70.0,SG_LGL_GENEQEMP
2022,70.0,SG_LGL_GENEQEMP
2020,72.73,SG_LGL_GENEQLFP
2022,72.73,SG_LGL_GENEQLFP
2020,81.82,SG_LGL_GENEQMAR
2022,81.82,SG_LGL_GENEQMAR
2020,55.56,SG_LGL_GENEQVAW
2022,66.67,SG_LGL_GENEQVAW
