Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2017,5.41077,PT,TM_TAX_DMFN,2023-03-23
2018,5.49142,PT,TM_TAX_DMFN,2023-03-23
2019,6.07214,PT,TM_TAX_DMFN,2023-03-23
2020,6.04474,PT,TM_TAX_DMFN,2023-03-23
2021,6.07505,PT,TM_TAX_DMFN,2023-03-23
2000,4.04037,PT,TM_TAX_DPRF,2023-03-23
2005,4.13765,PT,TM_TAX_DPRF,2023-03-23
2010,3.33531,PT,TM_TAX_DPRF,2023-03-23
2011,2.81704,PT,TM_TAX_DPRF,2023-03-23
2012,2.50619,PT,TM_TAX_DPRF,2023-03-23
2013,2.50362,PT,TM_TAX_DPRF,2023-03-23
2014,2.50571,PT,TM_TAX_DPRF,2023-03-23
2015,2.49566,PT,TM_TAX_DPRF,2023-03-23
2016,2.49436,PT,TM_TAX_DPRF,2023-03-23
2017,2.5128,PT,TM_TAX_DPRF,2023-03-23
2018,2.48136,PT,TM_TAX_DPRF,2023-03-23
2019,2.63056,PT,TM_TAX_DPRF,2023-03-23
2020,2.63068,PT,TM_TAX_DPRF,2023-03-23
2021,2.60556,PT,TM_TAX_DPRF,2023-03-23
