Year,Value,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
1983,1.58531,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1984,-1.90736,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1985,6.94498,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1986,20.80495,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1987,-2.0893,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1988,6.07864,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1989,1.22644,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1990,-0.04775,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1991,-4.37996,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1992,-5.32255,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1993,22.77273,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1994,9.38993,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1995,0.48713,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1996,8.13796,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1997,5.51772,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1998,-0.67899,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
1999,-3.66284,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2000,-7.73231,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2001,3.27621,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2002,-16.96482,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2003,-20.43725,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2004,-2.05636,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2005,-7.34173,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2006,-8.94245,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2007,-9.78636,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2008,-21.08434,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2009,-3.82415,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2010,45.77855,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2011,5.10466,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2012,-3.27435,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2013,-11.87653,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2014,3.87918,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2015,48.41123,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2016,21.00079,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2017,4.80668,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2018,-2.91287,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2019,12.27511,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2020,-39.79683,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
2021,41.12701,PT,NE_EXP_GNFS_KD_ZG,2023-03-12
