Year,Value,SERIES
2015,9156.2,AG_PRD_FIESMSN
2016,9646.6,AG_PRD_FIESMSN
2017,9886.7,AG_PRD_FIESMSN
2018,10044.7,AG_PRD_FIESMSN
2019,10715.9,AG_PRD_FIESMSN
2020,11443.3,AG_PRD_FIESMSN
2021,11771.7,AG_PRD_FIESMSN
2022,,AG_PRD_FIESMSN
2015,5022.1,AG_PRD_FIESSN
2016,5307.1,AG_PRD_FIESSN
2017,5295.3,AG_PRD_FIESSN
2018,5144.6,AG_PRD_FIESSN
2019,4934.0,AG_PRD_FIESSN
2020,4909.3,AG_PRD_FIESSN
2021,4576.5,AG_PRD_FIESSN
2022,,AG_PRD_FIESSN
