Value,Disaggregation combinations using this value,Number of indicators
HH,1,1
ISIC4_A,8,2
ISIC4_A01_A0210_A0322,2,2
ISIC4_B,2,1
ISIC4_BTFXE,4,3
ISIC4_BTU,6,1
ISIC4_C,6,4
ISIC4_C10T32X19,1,1
ISIC4_D,2,1
ISIC4_F,2,1
ISIC4_G,1,1
ISIC4_GTS,1,1
ISIC4_GTS_HH,1,1
ISIC4_GTT,2,2
ISIC4_S,1,1
ISIC4_T,1,1
