Value,Disaggregation combinations using this value,Number of indicators
_U,3,1
_X,3,1
M12T23,1,1
M24T35,1,1
M36T47,1,1
M36T59,3,1
M48T59,1,1
Y0,1,1
Y0T14,35,2
Y0T17,25,2
Y0T4,5,2
Y10T14,1,1
Y15T19,1,1
Y15T24,56,6
Y15T49,12,2
Y15T64,5,3
Y18T29,1,1
Y1T14,1,1
Y20T24,2,1
Y25T54,4,2
Y25T74,33,1
Y30T70,3,1
Y55T64,2,1
Y5T17,6,1
Y_GE15,34,7
Y_GE18,22,1
Y_GE25,10,3
Y_GE46,6,1
Y_GE50,3,1
Y_GE65,1,1
Y_GE75,27,1
