Value,Disaggregation combinations using this value,Number of indicators
ZW00,1,1
ZW01,1,1
ZW02,1,1
ZW03,1,1
ZW04,1,1
ZW05,1,1
ZW06,1,1
ZW07,1,1
ZW08,1,1
ZW09,1,1
