Value,Disaggregation combinations using this value,Number of indicators
AGG_0_1,1,1
AGG_2_3,6,2
AGG_GE2,1,1
ISCED11_02,4,2
ISCED11_1,122,3
ISCED11_2,106,3
ISCED11_3,106,3
