Value,Disaggregation combinations using this value,Number of indicators
Bulawayo,3,3
Harare,3,3
Manicaland,3,3
Masholanad East,3,3
Mashonaland Central,3,3
Mashonaland West,3,3
Masvingo,3,3
Matabeland North,3,3
Matabeland South,3,3
Midlands,3,3
