Value,Disaggregation combinations using this value,Number of indicators
Bindura,1,1
Bulawayo,1,1
Chegutu,1,1
Chinhoyi,1,1
Harare,3,3
Masvingo,1,1
Mbare,1,1
Montane,25,3
Mutare,1,1
Remaining mountain area,25,3
Zvishavane,1,1
