Year,Value
2000,69.49
2001,72.32
2002,74.74
2003,78.01
2004,81.84
2005,80.29
2006,78.67
2007,77.98
2008,81.57
2009,82.58
2010,82.51
2011,79.4
2012,77.64
2013,79.04
2014,80.45
2015,81.0
2016,82.07
2017,82.63
2018,80.43
2019,81.52
2020,84.36
