Year,SEX,Value
2000,,1225.4
2001,,1392.0
2002,,703.3
2003,,1251.0
2004,,746.8
2005,,634.9
2006,,779.5
2007,,555.8
2011,,391.1
2012,,480.08
2004,F,297.7
2005,F,235.9
2006,F,349.7
2007,F,222.1
2011,F,171.99
2012,F,250.7
2004,M,838.8
2005,M,716.9
2006,M,873.1
2007,M,631.1
2011,M,444.33
2012,M,537.29
