Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2017,EN_EWT_COLLPCAP,KG,2023-03-08,0.0
2017,EN_EWT_COLLV,T,2023-03-08,0.03
2017,EN_EWT_GENPCAP,KG,2023-03-08,0.27117
2017,EN_EWT_GENV,T,2023-05-10,4000.0
