Year,SEX,Value
2003,,30.67
2004,,29.68
2005,,30.29
2006,,24.74
2007,,27.09
2008,,22.95
2010,,27.61
2015,,17.1
2017,,13.88
2018,,19.13
2019,,17.79
2020,,18.28
2017,F,31.16
2018,F,43.06
2019,F,32.89
2020,F,36.59
2017,M,13.44
2018,M,18.66
2019,M,17.45
2020,M,17.92
