Year,SERIES,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2021,EN_WBE_HMWTL,KM2,2022-03-18,6521.51
2021,EN_WBE_INWTL,KM2,2022-03-18,111717.4
2020,SE_GCEDESD_CUR,IX,2023-07-25,
2020,SE_GCEDESD_NEP,IX,2023-07-25,
2020,SE_GCEDESD_SAS,IX,2023-07-25,
2020,SE_GCEDESD_TED,IX,2023-07-25,
2016,SG_PLN_REPOLRES,PT,2022-03-02,59.36667
2018,SG_PLN_REPOLRES,PT,2022-03-02,77.19426
2022,SH_LGR_ACSRHE,PT,2022-03-22,73.0
